Altium Designer Pick and Place Locations
C:\myrepo\rk3566-devkit\01.hardware\RK3566\Project Outputs for RK3566\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       20/12/25
Time:       13:33
Revision:   d39db37f90201424382ae6569ad25726d0ff8314
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C209","100nF-0201","BottomLayer","C0201","4353.353","3026.219","315","CL03A104KO3NNNC"
"C208","1uF-0201","BottomLayer","C0201","4340.259","3013.367","315","CL03A104KO3NNNC"
"C207","100nF-0201","BottomLayer","C0201","4377.825","2747.825","45","CL03A104KO3NNNC"
"C206","1uF","BottomLayer","C0402","4185.815","3110.422","270","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C205","100nF-0201","BottomLayer","C0201","4483.415","2712.232","135","CL03A104KO3NNNC"
"C204","100nF-0201","BottomLayer","C0201","4334.552","2764.343","315","CL03A104KO3NNNC"
"C203","100nF-0201","BottomLayer","C0201","4340.108","2910.778","135","CL03A104KO3NNNC"
"C202","100nF-0201","BottomLayer","C0201","4640.541","3092.526","135","CL03A104KO3NNNC"
"C201","4.7uF","BottomLayer","C0402","4691.376","3225.727","45","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C200","100nF","BottomLayer","C0402","4717.010","3198.610","45","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C199","100nF-0201","BottomLayer","C0201","4394.230","2782.756","315","CL03A104KO3NNNC"
"C198","100nF-0201","BottomLayer","C0201","4576.709","3034.196","135","CL03A104KO3NNNC"
"C197","100nF-0201","BottomLayer","C0201","4594.378","3052.830","135","CL03A104KO3NNNC"
"C196","100nF-0201","BottomLayer","C0201","4615.061","3074.631","135","CL03A104KO3NNNC"
"C195","100nF-0201","BottomLayer","C0201","4520.847","2746.136","45","CL03A104KO3NNNC"
"C194","100nF-0201","BottomLayer","C0201","4413.414","2744.530","225","CL03A104KO3NNNC"
"C193","100nF-0201","BottomLayer","C0201","4501.551","2766.551","45","CL03A104KO3NNNC"
"C192","100nF-0201","BottomLayer","C0201","4433.998","2719.947","45","CL03A104KO3NNNC"
"C191","100nF","TopLayer","C0402","2764.338","3840.207","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C190","10uF","TopLayer","C0603","2814.458","3839.655","90","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C189","10uF","BottomLayer","C0603","3163.720","1899.525","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C188","4.7uF","BottomLayer","C0402","4678.591","2937.449","225","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C187","100nF-0201","BottomLayer","C0201","4652.998","2980.433","225","CL03A104KO3NNNC"
"C186","100nF-0201","BottomLayer","C0201","4613.643","2859.068","135","CL03A104KO3NNNC"
"C185","100nF-0201","BottomLayer","C0201","4592.276","2836.930","135","CL03A104KO3NNNC"
"C184","4.7uF","BottomLayer","C0402","4717.010","3345.150","225","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C183","4.7uF","BottomLayer","C0402","4625.798","2995.290","225","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C182","100nF-0201","BottomLayer","C0201","4597.712","2913.561","315","CL03A104KO3NNNC"
"C181","100nF-0201","BottomLayer","C0201","4617.696","2933.341","315","CL03A104KO3NNNC"
"C180","100nF-0201","BottomLayer","C0201","4558.409","2855.619","45","CL03A104KO3NNNC"
"C179","100nF","TopLayer","C0402","3485.000","2315.000","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"AUDIO1","PJ-393_C2837065","TopLayer","AUDIO-SMD_PJ-393","3533.100","1956.756","0","3.5mm??? ?????????????;?????????"
"R89","NC","BottomLayer","R0402","4060.464","3111.539","270","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R88","NC","TopLayer","R0402","4758.760","2398.105","0","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R87","10kO","BottomLayer","R0402","4020.375","3111.704","90","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R86","0O","TopLayer","R0402","4848.336","2358.120","180","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"C174","4.7uF","TopLayer","C0402","4847.923","2396.670","180","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"USB2","AF 10.0 HC6.3","TopLayer","USB-A-TH_AF-10.0-HC6.3","4977.733","1992.055","0","Type-A ? ??"
"USB3","TYPE-C 16PIN 2MD(073)","TopLayer","USB-C-SMD_TYPE-C-6PIN-2MD-073","5560.279","1813.932","0","16pin type-c"
"USB1","TYPE-C 16PIN 2MD(073)","TopLayer","USB-C-SMD_TYPE-C-6PIN-2MD-073","2308.071","2139.958","270","16pin type-c"
"U33","SY6280AAC","BottomLayer","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL","4985.089","1858.864","0","?????????"
"U32","ESD5451N","BottomLayer","DFN1006-2L-BI","4996.056","2135.064","270","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U31","ESD5451N","BottomLayer","DFN1006-2L-BI","4952.438","2135.678","90","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U29","ESD5451N","TopLayer","DFN1006-2L-BI","2487.851","2124.191","90","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"R85","5.1kO","TopLayer","R0402","5715.968","2002.226","180","5.1kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R84","5.1kO","TopLayer","R0402","5432.054","2002.226","180","5.1kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R83","10kO","BottomLayer","R0402","5077.240","1889.969","90","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R82","10kO","BottomLayer","R0402","5078.175","1814.901","270","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R81","NC","BottomLayer","R0402","4898.750","1853.104","90","10O 62.5mW 50V ±200ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R80","0O","TopLayer","R0402","5013.305","2118.426","180","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R79","2.2O","TopLayer","R0402","5014.074","2158.422","0","??????????????,?????????????????"
"R78","15kO","BottomLayer","R0402","2227.355","2104.057","90","62.5mW 15kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R77","0O","TopLayer","R0402","4934.051","2118.140","0","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R76","2.2O","TopLayer","R0402","4934.356","2157.931","180","??????????????,?????????????????"
"R75","10kO","BottomLayer","R0402","2226.884","2179.532","90","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R74","51kO","BottomLayer","R0402","2672.586","2046.851","0","51kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R73","10kO","BottomLayer","R0402","2443.489","2047.192","180","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R72","5.1kO","TopLayer","R0402","2468.295","2017.118","90","5.1kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R71","2.2O","TopLayer","R0402","2544.412","2134.978","0","??????????????,?????????????????"
"R70","2.2O","TopLayer","R0402","2543.903","2175.235","0","??????????????,?????????????????"
"R69","5.1kO","TopLayer","R0402","2468.295","2258.849","90","5.1kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R68","100O","TopLayer","R0402","5546.832","4239.680","0","100O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R67","100O","TopLayer","R0402","5688.692","4239.288","180","100O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"Q4","CJ2301 S1","BottomLayer","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","2327.105","2138.470","180","1?P?? ??:20V ??:2.3A ,-20V,-2.3A,112mO@-4.5V"
"H1","4","TopLayer","HDR-TH_4P-P2.54-V-M","5620.958","4361.849","180","4P 1x4P Gold Brass -40?~+105? Black Pin Header 2.54mm 2.5mm 6mm 1kV 3mm 3A 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins ROHS"
"F1","BSMD0805L-200","BottomLayer","F0805","2480.568","2305.238","90","6V 2A 0805???"
"C173","100nF","BottomLayer","C0402","4245.000","2690.000","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C172","10uF","BottomLayer","C0603","4808.366","1844.974","90","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C171","100nF","BottomLayer","C0402","4859.138","1846.002","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C170","1uF","BottomLayer","C0402","4969.008","1758.008","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C169","100nF","BottomLayer","C0402","2620.200","2324.663","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C168","10uF","BottomLayer","C0603","2572.870","2326.767","90","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C163","100nF","TopLayer","C0402","4664.223","2397.593","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C160","100nF","TopLayer","C0402","4595.929","2299.212","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C164","4.7uF","TopLayer","C0402","4848.626","2436.220","180","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C165","100nF","TopLayer","C0402","4664.482","2357.923","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C161","100nF","TopLayer","C0402","4664.909","2437.693","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C167","4.7uF","TopLayer","C0402","4758.699","2437.419","180","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C166","100nF","TopLayer","C0402","4561.406","2298.898","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"R64","10kO","TopLayer","R0402","4664.480","2318.143","0","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R66","NC","TopLayer","R0402","4565.654","2371.673","270","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R65","10kO","TopLayer","R0402","4601.686","2371.673","270","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"C158","2.2uF","TopLayer","C0402","4468.044","2277.374","270","50V 2.2uF NP0 0402 Ceramic Capacitors ROHS"
"C159","100nF","TopLayer","C0402","4450.593","2375.662","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"U1","LPDDR4","TopLayer","FBGA-200_L15.0-W10.0-BL_H9HCNNNBKUMLXR","5252.899","2933.533","270","LPDDR4 - SDRAM???????DRAM??,?????1??2????????8??????,??????1 Gb?16 Gb?????8??????,??????2 Gb?32 Gb"
"R63","0O","BottomLayer","R0402","5413.423","3307.227","90","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R62","240O","BottomLayer","R0402","5241.904","3306.219","90","240O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R61","240O","BottomLayer","R0402","5283.289","3306.219","90","240O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"C157","100nF","BottomLayer","C0402","5014.850","3041.671","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C156","100nF","BottomLayer","C0402","5369.875","2832.617","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C155","100nF","BottomLayer","C0402","5120.240","2827.251","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C154","10uF","BottomLayer","C0603","5518.503","3022.799","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C153","100nF","BottomLayer","C0402","5381.975","3046.289","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C152","100nF","BottomLayer","C0402","5127.656","3041.166","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C151","100nF","BottomLayer","C0402","5047.739","2750.902","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C150","10uF","BottomLayer","C0603","5519.184","2721.313","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C149","NC","BottomLayer","C0402","5523.556","2820.568","180","50V 10nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C42","100nF","BottomLayer","C0402","5365.912","2785.582","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C41","100nF","BottomLayer","C0402","5372.936","3205.368","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C40","100nF","BottomLayer","C0402","5512.843","3136.146","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C39","100nF","BottomLayer","C0402","5209.563","2737.992","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C38","100nF","BottomLayer","C0402","5310.610","3187.234","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C37","100nF","BottomLayer","C0402","5284.499","2683.859","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C36","100nF","BottomLayer","C0402","5204.702","3125.808","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C35","100nF","BottomLayer","C0402","5122.401","3105.185","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C34","100nF","BottomLayer","C0402","5123.522","2654.560","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C33","100nF","BottomLayer","C0402","5373.816","3107.333","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C32","100nF","BottomLayer","C0402","5205.282","3213.183","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C31","100nF","BottomLayer","C0402","5413.423","2732.168","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C30","100nF","BottomLayer","C0402","5221.156","2672.977","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C29","100nF","BottomLayer","C0402","5366.642","2682.822","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C28","100nF","BottomLayer","C0402","5292.338","2744.580","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C27","100nF","BottomLayer","C0402","5296.318","3120.432","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C26","100nF","BottomLayer","C0402","5122.235","3197.557","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C25","100nF","BottomLayer","C0402","5124.540","2758.073","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C24","1uF","BottomLayer","C0402","5242.110","3213.812","270","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C23","10uF","BottomLayer","C0603","5015.684","3151.774","270","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C22","10uF","BottomLayer","C0603","5048.193","2681.297","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C21","22uF","BottomLayer","C0603","5518.556","2661.982","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C20","100nF","BottomLayer","C0402","5204.926","3078.499","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C19","100nF","BottomLayer","C0402","5293.228","3079.916","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C18","100nF","BottomLayer","C0402","5298.850","3038.715","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C17","100nF","BottomLayer","C0402","5286.610","2786.042","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C16","100nF","BottomLayer","C0402","5360.204","2885.860","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C15","100nF","BottomLayer","C0402","5146.552","2889.732","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C14","100nF","BottomLayer","C0402","5208.195","3041.963","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C13","100nF","BottomLayer","C0402","5287.100","2831.196","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C12","100nF","BottomLayer","C0402","5333.551","3307.227","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C11","100nF","BottomLayer","C0402","5233.676","2859.913","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C10","100nF","BottomLayer","C0402","5371.879","2975.271","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C9","100nF","BottomLayer","C0402","5031.619","2850.282","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C8","100nF","BottomLayer","C0402","5059.372","2974.465","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C7","100nF","BottomLayer","C0402","5523.556","2885.860","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C6","100nF","BottomLayer","C0402","5183.786","2670.686","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C5","100nF","BottomLayer","C0402","5204.065","2786.357","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C4","1uF","BottomLayer","C0402","5152.780","2975.497","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C3","10uF","BottomLayer","C0603","5518.556","2971.067","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C2","10uF","BottomLayer","C0603","5178.732","3309.889","270","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C1","22uF","BottomLayer","C0603","5361.170","2593.120","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"X1","26MHz","TopLayer","CRYSTAL-SMD_4P-L2.0-W1.6-BL","2718.793","3126.413","180","Q22FA12800230 26MHz ±10ppm 10pF"
"R13","NC-4.7kO","TopLayer","R0402","3356.791","3369.508","0","5.1kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R12","0O","BottomLayer","R0402","3191.593","3512.996","180","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R11","10kO","BottomLayer","R0402","2968.671","3613.192","270","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"L1","4.7uH","BottomLayer","L1008","3098.437","3349.127","270","SMD 1008 4.7uH ±20%"
"JP1","6GHz","TopLayer","RF-SMD_FRF05002-JSS103M","2314.998","3777.002","0",""
"C148","22uF","TopLayer","C0603","4145.534","2522.348","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C147","10uF","BottomLayer","C0603","4446.726","2908.221","45","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C146","22uF","TopLayer","C0603","4088.138","2520.237","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C145","4.7uF","BottomLayer","C0402","4544.225","2996.458","225","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C144","4.7uF","BottomLayer","C0402","4555.346","2925.792","135","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C143","4.7uF","BottomLayer","C0402","4529.630","2896.821","135","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C142","100nF-0201","BottomLayer","C0201","4510.138","3012.683","225","CL03A104KO3NNNC"
"C141","22uF","TopLayer","C0603","4144.485","2631.704","90","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C140","10uF","BottomLayer","C0603","4431.887","2968.686","45","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C139","22uF","TopLayer","C0603","4088.776","2631.424","90","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C138","4.7uF","BottomLayer","C0402","4383.732","3096.389","315","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C137","100nF-0201","BottomLayer","C0201","4485.000","3035.000","225","CL03A104KO3NNNC"
"C136","4.7uF","BottomLayer","C0402","4460.539","2786.272","45","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C53","100nF","BottomLayer","C0402","3118.902","3469.948","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
